Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,6,E08,M,00:07:01.04,253080
1,7,E08,M,00:08:14.22,253526
1,8,E08,M,00:09:27.39,253751
1,9,E08,M,00:10:40.55,253359
1,10,E08,M,00:11:53.70,252761
1,1,E09,M,00:00:55.75,255602
1,2,E09,M,00:02:08.91,254786
1,3,E09,M,00:03:22.08,254997
1,4,E09,M,00:04:35.23,254014
1,5,E09,M,00:05:48.39,254727
1,6,E09,M,00:07:01.55,254847
1,7,E09,M,00:08:14.74,255360
1,8,E09,M,00:09:27.91,255032
1,9,E09,M,00:10:41.06,254231
1,10,E09,M,00:11:54.21,254615
1,1,E10,M,00:00:56.27,245295
1,2,E10,M,00:02:09.43,244863
1,3,E10,M,00:03:22.59,245632
1,4,E10,M,00:04:35.75,244977
1,5,E10,M,00:05:48.91,245223
1,6,E10,M,00:07:02.07,245375
1,7,E10,M,00:08:15.25,244384
1,8,E10,M,00:09:28.42,244850
1,9,E10,M,00:10:41.58,245263
1,10,E10,M,00:11:54.73,245524
1,1,E11,M,00:00:56.78,257317
1,2,E11,M,00:02:09.94,256346
1,3,E11,M,00:03:23.11,256578
1,4,E11,M,00:04:36.26,256498
1,5,E11,M,00:05:49.42,256689
1,6,E11,M,00:07:02.58,257011
1,7,E11,M,00:08:15.77,256163
1,8,E11,M,00:09:28.94,255513
1,9,E11,M,00:10:42.09,256948
1,10,E11,M,00:11:55.25,256106
1,1,E12,M,00:00:57.30,257462
1,2,E12,M,00:02:10.46,257645
1,3,E12,M,00:03:23.62,257962
1,4,E12,M,00:04:36.78,257043
1,5,E12,M,00:05:49.94,255927
1,6,E12,M,00:07:03.10,257219
1,7,E12,M,00:08:16.28,256886
1,8,E12,M,00:09:29.45,256800
1,9,E12,M,00:10:42.61,257223
1,10,E12,M,00:11:55.76,257192
1,1,F01,M,00:01:00.25,261247
1,2,F01,M,00:02:13.41,260437
1,3,F01,M,00:03:26.57,260080
1,4,F01,M,00:04:39.73,259540
1,5,F01,M,00:05:52.89,259444
1,6,F01,M,00:07:06.05,258269
1,7,F01,M,00:08:19.24,259153
1,8,F01,M,00:09:32.41,258680
1,9,F01,M,00:10:45.56,259587
1,10,F01,M,00:11:58.71,258527
1,1,F02,M,00:01:00.77,254299
1,2,F02,M,00:02:13.93,254617
1,3,F02,M,00:03:27.09,254133
1,4,F02,M,00:04:40.25,253174
1,5,F02,M,00:05:53.41,254560
1,6,F02,M,00:07:06.57,253224
1,7,F02,M,00:08:19.75,252912
1,8,F02,M,00:09:32.92,253472
1,9,F02,M,00:10:46.08,253131
1,10,F02,M,00:11:59.23,253447
1,1,F03,M,00:01:01.28,255198
1,2,F03,M,00:02:14.44,254558
1,3,F03,M,00:03:27.60,255647
1,4,F03,M,00:04:40.76,255356
1,5,F03,M,00:05:53.92,254616
1,6,F03,M,00:07:07.08,253982
1,7,F03,M,00:08:20.27,254708
1,8,F03,M,00:09:33.44,254608
1,9,F03,M,00:10:46.59,254554
1,10,F03,M,00:11:59.74,254882
1,1,F04,M,00:01:01.80,255789
1,2,F04,M,00:02:14.96,253905
1,3,F04,M,00:03:28.12,254058
1,4,F04,M,00:04:41.28,254072
1,5,F04,M,00:05:54.44,253074
1,6,F04,M,00:07:07.59,253730
1,7,F04,M,00:08:20.78,253689
1,8,F04,M,00:09:33.95,254219
1,9,F04,M,00:10:47.11,253487
1,10,F04,M,00:12:00.26,252564
1,1,F05,M,00:01:02.31,254637
1,2,F05,M,00:02:15.47,254594
1,3,F05,M,00:03:28.63,253814
1,4,F05,M,00:04:41.79,254071
1,5,F05,M,00:05:54.95,253487
1,6,F05,M,00:07:08.11,254993
1,7,F05,M,00:08:21.30,253490
1,8,F05,M,00:09:34.47,253568
1,9,F05,M,00:10:47.62,253741
1,10,F05,M,00:12:00.77,253986
1,1,F06,M,00:01:02.83,253195
1,2,F06,M,00:02:15.99,253119
1,3,F06,M,00:03:29.15,252037
1,4,F06,M,00:04:42.31,252503
1,5,F06,M,00:05:55.47,252617
1,6,F06,M,00:07:08.62,251473
1,7,F06,M,00:08:21.81,252933
1,8,F06,M,00:09:34.98,250891
1,9,F06,M,00:10:48.14,253151
1,10,F06,M,00:12:01.29,252245
1,1,F07,M,00:01:03.34,252659
1,2,F07,M,00:02:16.50,252531
1,3,F07,M,00:03:29.66,252847
1,4,F07,M,00:04:42.82,252291
1,5,F07,M,00:05:55.98,252389
1,6,F07,M,00:07:09.14,252628
1,7,F07,M,00:08:22.33,252445
1,8,F07,M,00:09:35.50,252718
1,9,F07,M,00:10:48.65,253478
1,10,F07,M,00:12:01.80,252608
1,1,F08,M,00:01:03.86,251465
1,2,F08,M,00:02:17.02,251131
1,3,F08,M,00:03:30.18,251637
1,4,F08,M,00:04:43.34,251821
1,5,F08,M,00:05:56.50,251034
1,6,F08,M,00:07:09.65,250386
1,7,F08,M,00:08:22.84,251127
1,8,F08,M,00:09:36.01,249361
1,9,F08,M,00:10:49.17,250843
1,10,F08,M,00:12:02.32,250285
1,1,F09,M,00:01:04.37,256078
1,2,F09,M,00:02:17.53,254828
1,3,F09,M,00:03:30.69,256011
1,4,F09,M,00:04:43.85,256113
1,5,F09,M,00:05:57.01,255190
1,6,F09,M,00:07:10.17,255044
1,7,F09,M,00:08:23.36,254734
1,8,F09,M,00:09:36.53,254670
1,9,F09,M,00:10:49.68,254930
1,10,F09,M,00:12:02.83,254926
1,1,F10,M,00:01:04.89,243866
1,2,F10,M,00:02:18.05,242917
