Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,8,D08,M,00:09:14.80,251634
1,9,D08,M,00:10:27.96,250861
1,10,D08,M,00:11:41.14,251290
1,1,D09,M,00:00:43.17,254356
1,2,D09,M,00:01:56.33,253929
1,3,D09,M,00:03:09.48,254651
1,4,D09,M,00:04:22.64,253771
1,5,D09,M,00:05:35.82,254128
1,6,D09,M,00:06:49.00,254591
1,7,D09,M,00:08:02.15,253844
1,8,D09,M,00:09:15.31,254552
1,9,D09,M,00:10:28.47,254337
1,10,D09,M,00:11:41.66,253466
1,1,D10,M,00:00:43.69,256049
1,2,D10,M,00:01:56.84,255799
1,3,D10,M,00:03:10.00,256171
1,4,D10,M,00:04:23.16,256291
1,5,D10,M,00:05:36.33,255461
1,6,D10,M,00:06:49.51,255249
1,7,D10,M,00:08:02.67,254488
1,8,D10,M,00:09:15.83,255794
1,9,D10,M,00:10:28.99,255865
1,10,D10,M,00:11:42.17,256401
1,1,D11,M,00:00:44.20,255659
1,2,D11,M,00:01:57.36,254440
1,3,D11,M,00:03:10.51,255809
1,4,D11,M,00:04:23.67,254583
1,5,D11,M,00:05:36.85,254831
1,6,D11,M,00:06:50.03,255708
1,7,D11,M,00:08:03.18,254874
1,8,D11,M,00:09:16.34,254396
1,9,D11,M,00:10:29.50,255094
1,10,D11,M,00:11:42.69,254990
1,1,D12,M,00:00:44.72,261111
1,2,D12,M,00:01:57.87,260137
1,3,D12,M,00:03:11.03,259869
1,4,D12,M,00:04:24.19,259499
1,5,D12,M,00:05:37.36,259597
1,6,D12,M,00:06:50.54,259016
1,7,D12,M,00:08:03.70,260149
1,8,D12,M,00:09:16.86,260140
1,9,D12,M,00:10:30.02,260136
1,10,D12,M,00:11:43.20,259814
1,1,E01,M,00:00:47.67,259277
1,2,E01,M,00:02:00.83,259972
1,3,E01,M,00:03:13.98,260176
1,4,E01,M,00:04:27.14,259050
1,5,E01,M,00:05:40.32,259070
1,6,E01,M,00:06:53.50,259182
1,7,E01,M,00:08:06.65,259543
1,8,E01,M,00:09:19.81,258833
1,9,E01,M,00:10:32.97,258301
1,10,E01,M,00:11:46.16,258959
1,1,E02,M,00:00:48.18,256070
1,2,E02,M,00:02:01.34,255657
1,3,E02,M,00:03:14.50,256149
1,4,E02,M,00:04:27.66,254936
1,5,E02,M,00:05:40.83,255904
1,6,E02,M,00:06:54.01,255239
1,7,E02,M,00:08:07.17,254753
1,8,E02,M,00:09:20.32,255739
1,9,E02,M,00:10:33.49,255380
1,10,E02,M,00:11:46.67,255352
1,1,E03,M,00:00:48.70,253922
1,2,E03,M,00:02:01.86,252413
1,3,E03,M,00:03:15.01,252991
1,4,E03,M,00:04:28.17,252457
1,5,E03,M,00:05:41.35,252681
1,6,E03,M,00:06:54.53,252134
1,7,E03,M,00:08:07.68,253014
1,8,E03,M,00:09:20.84,252807
1,9,E03,M,00:10:34.00,251838
1,10,E03,M,00:11:47.19,253062
1,1,E04,M,00:00:49.21,253009
1,2,E04,M,00:02:02.37,253495
1,3,E04,M,00:03:15.53,252330
1,4,E04,M,00:04:28.69,253036
1,5,E04,M,00:05:41.86,252074
1,6,E04,M,00:06:55.04,252859
1,7,E04,M,00:08:08.20,252275
1,8,E04,M,00:09:21.35,253237
1,9,E04,M,00:10:34.52,252668
1,10,E04,M,00:11:47.70,253176
1,1,E05,M,00:00:49.73,252914
1,2,E05,M,00:02:02.89,252392
1,3,E05,M,00:03:16.04,252580
1,4,E05,M,00:04:29.20,252576
1,5,E05,M,00:05:42.38,252098
1,6,E05,M,00:06:55.56,252624
1,7,E05,M,00:08:08.71,251399
1,8,E05,M,00:09:21.87,252475
1,9,E05,M,00:10:35.03,252038
1,10,E05,M,00:11:48.22,253232
1,1,E06,M,00:00:50.24,253797
1,2,E06,M,00:02:03.40,252648
1,3,E06,M,00:03:16.56,252763
1,4,E06,M,00:04:29.72,251892
1,5,E06,M,00:05:42.89,253135
1,6,E06,M,00:06:56.07,253409
1,7,E06,M,00:08:09.23,252205
1,8,E06,M,00:09:22.38,252122
1,9,E06,M,00:10:35.55,252786
1,10,E06,M,00:11:48.73,252798
1,1,E07,M,00:00:50.76,254430
1,2,E07,M,00:02:03.92,253261
