Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,5,C04,M,05:47.4,238629
1,6,C04,M,07:05.8,234093
1,7,C04,M,08:24.3,248284
1,8,C04,M,09:42.7,245222
1,9,C04,M,11:01.2,253068
1,10,C04,M,12:19.7,232001
1,11,C04,M,13:38.2,240094
1,12,C04,M,14:56.6,236532
1,13,C04,M,16:15.1,249786
1,14,C04,M,55:43.0,311584
1,15,C04,M,57:01.4,310080
1,16,C04,M,58:19.8,311111
1,17,C04,M,59:38.3,316455
1,18,C04,M,00:56.8,321870
1,19,C04,M,02:15.2,307004
1,20,C04,M,03:33.7,303722
1,21,C04,M,04:52.1,303127
1,1,C05,M,00:34.1,183207
1,2,C05,M,01:52.6,178805
1,3,C05,M,03:11.0,175086
1,4,C05,M,04:29.5,168950
1,5,C05,M,05:48.0,184673
1,6,C05,M,07:06.4,173433
1,7,C05,M,08:24.8,162949
1,8,C05,M,09:43.3,168107
1,9,C05,M,11:01.8,182345
1,10,C05,M,12:20.2,171736
1,11,C05,M,13:38.7,172457
1,12,C05,M,14:57.2,171443
1,13,C05,M,16:15.7,185217
1,14,C05,M,55:43.6,221735
1,15,C05,M,57:02.0,222410
1,16,C05,M,58:20.4,212911
1,17,C05,M,59:38.9,223789
1,18,C05,M,00:57.4,213318
1,19,C05,M,02:15.8,225247
1,20,C05,M,03:34.3,215877
1,21,C05,M,04:52.7,224581
1,1,C06,M,00:34.7,132483
1,2,C06,M,01:53.1,125519
1,3,C06,M,03:11.6,127352
1,4,C06,M,04:30.1,130704
1,5,C06,M,05:48.5,135549
1,6,C06,M,07:07.0,133616
1,7,C06,M,08:25.4,132534
1,8,C06,M,09:43.9,128630
1,9,C06,M,11:02.3,130119
1,10,C06,M,12:20.8,129798
1,11,C06,M,13:39.3,135066
1,12,C06,M,14:57.8,122535
1,13,C06,M,16:16.3,123429
1,14,C06,M,55:44.1,166838
1,15,C06,M,57:02.5,159554
1,16,C06,M,58:21.0,169151
1,17,C06,M,59:39.4,158452
1,18,C06,M,00:57.9,164035
1,19,C06,M,02:16.4,168785
1,20,C06,M,03:34.9,168018
1,21,C06,M,04:53.3,178251
1,1,C07,M,00:35.3,97396
1,2,C07,M,01:53.7,101559
1,3,C07,M,03:12.2,91619
1,4,C07,M,04:30.6,92273
1,5,C07,M,05:49.1,86982
1,6,C07,M,07:07.5,94823
1,7,C07,M,08:26.0,96757
1,8,C07,M,09:44.4,91249
1,9,C07,M,11:02.9,89679
1,10,C07,M,12:21.4,93031
1,11,C07,M,13:39.9,90491
1,12,C07,M,14:58.3,91249
1,13,C07,M,16:16.8,90373
1,14,C07,M,55:44.7,117015
1,15,C07,M,57:03.1,122031
1,16,C07,M,58:21.6,109817
1,17,C07,M,59:40.0,124958
1,18,C07,M,00:58.5,127876
1,19,C07,M,02:17.0,117314
1,20,C07,M,03:35.4,111192
1,21,C07,M,04:53.9,118400
1,1,C08,M,00:35.9,70325
1,2,C08,M,01:54.3,74421
1,3,C08,M,03:12.7,66952
1,4,C08,M,04:31.2,75562
1,5,C08,M,05:49.7,71347
1,6,C08,M,07:08.1,69572
1,7,C08,M,08:26.5,58315
1,8,C08,M,09:45.0,73488
1,9,C08,M,11:03.5,65236
1,10,C08,M,12:21.9,63734
1,11,C08,M,13:40.4,68799
1,12,C08,M,14:58.9,66982
1,13,C08,M,16:17.4,72354
1,14,C08,M,55:45.3,79482
1,15,C08,M,57:03.7,77416
1,16,C08,M,58:22.1,76241
1,17,C08,M,59:40.6,81443
1,18,C08,M,00:59.1,69261
1,19,C08,M,02:17.5,83158
1,20,C08,M,03:36.0,77422
1,21,C08,M,04:54.4,84224
1,1,C09,M,00:36.4,53371
1,2,C09,M,01:54.8,55427
1,3,C09,M,03:13.3,47082
1,4,C09,M,04:31.8,48380
1,5,C09,M,05:50.2,55635
1,6,C09,M,07:08.7,52369
1,7,C09,M,08:27.1,52180
1,8,C09,M,09:45.6,56103
1,9,C09,M,11:04.0,50282
1,10,C09,M,12:22.5,54198
1,11,C09,M,13:41.0,52775
1,12,C09,M,14:59.5,49317
1,13,C09,M,16:18.0,49764
1,14,C09,M,55:45.8,52081
1,15,C09,M,57:04.2,61327
1,16,C09,M,58:22.7,61057
1,17,C09,M,59:41.2,61794
1,18,C09,M,00:59.6,51946
1,19,C09,M,02:18.1,51737
1,20,C09,M,03:36.6,63156
1,21,C09,M,04:55.0,56229
1,1,C10,M,00:37.0,44530
1,2,C10,M,01:55.4,39020
1,3,C10,M,03:13.9,47123
1,4,C10,M,04:32.3,40742
1,5,C10,M,05:50.8,35762
1,6,C10,M,07:09.2,37656
1,7,C10,M,08:27.7,41393
1,8,C10,M,09:46.1,36017
1,9,C10,M,11:04.6,42029
1,10,C10,M,12:23.1,41770
1,11,C10,M,13:41.6,36547
1,12,C10,M,15:00.0,35612
1,13,C10,M,16:18.6,34765
1,14,C10,M,55:46.4,40660
1,15,C10,M,57:04.8,42074
1,16,C10,M,58:23.3,45429
1,17,C10,M,59:41.7,43359
1,18,C10,M,01:00.2,42555
1,19,C10,M,02:18.7,46504
1,20,C10,M,03:37.1,45745
1,21,C10,M,04:55.6,43524
1,1,C11,M,00:37.6,28467
1,2,C11,M,01:56.0,30843
1,3,C11,M,03:14.5,27405
1,4,C11,M,04:32.9,31093
1,5,C11,M,05:51.4,27045
1,6,C11,M,07:09.8,29784
1,7,C11,M,08:28.3,25503
1,8,C11,M,09:46.7,32310
1,9,C11,M,11:05.2,31989
1,10,C11,M,12:23.7,28047
1,11,C11,M,13:42.2,28999
1,12,C11,M,15:00.6,27554
1,13,C11,M,16:19.1,26704
1,14,C11,M,55:47.0,34485
1,15,C11,M,57:05.4,36412
1,16,C11,M,58:23.8,31910
1,17,C11,M,59:42.3,45884
1,18,C11,M,01:00.8,33553
1,19,C11,M,02:19.2,33837
1,20,C11,M,03:37.7,29026
1,21,C11,M,04:56.1,33862
1,1,C12,M,00:38.1,7126
1,2,C12,M,01:56.5,11485
1,3,C12,M,03:15.0,7751
1,4,C12,M,04:33.5,11263
1,5,C12,M,05:52.0,8034
1,6,C12,M,07:10.4,7167
1,7,C12,M,08:28.8,8239
1,8,C12,M,09:47.3,10731
1,9,C12,M,11:05.7,10750
1,10,C12,M,12:24.2,8003
1,11,C12,M,13:42.7,8497
1,12,C12,M,15:01.2,7490
1,13,C12,M,16:19.7,9303
1,14,C12,M,55:47.5,8757
1,15,C12,M,57:05.9,7672
1,16,C12,M,58:24.4,5908
1,17,C12,M,59:42.9,7496
1,18,C12,M,01:01.3,9087
1,19,C12,M,02:19.8,6861
1,20,C12,M,03:38.3,8996
1,21,C12,M,04:56.7,10291
